Source.Name,POW.AF3.Theta,POW.AF3.Alpha,POW.AF3.BetaL,POW.AF3.BetaH,POW.AF3.Gamma,POW.F7.Theta,POW.F7.Alpha,POW.F7.BetaL,POW.F7.BetaH,POW.F7.Gamma,POW.F3.Theta,POW.F3.Alpha,POW.F3.BetaL,POW.F3.BetaH,POW.F3.Gamma,POW.FC5.Theta,POW.FC5.Alpha,POW.FC5.BetaL,POW.FC5.BetaH,POW.FC5.Gamma,POW.T7.Theta,POW.T7.Alpha,POW.T7.BetaL,POW.T7.BetaH,POW.T7.Gamma,POW.P7.Theta,POW.P7.Alpha,POW.P7.BetaL,POW.P7.BetaH,POW.P7.Gamma,POW.O1.Theta,POW.O1.Alpha,POW.O1.BetaL,POW.O1.BetaH,POW.O1.Gamma,POW.O2.Theta,POW.O2.Alpha,POW.O2.BetaL,POW.O2.BetaH,POW.O2.Gamma,POW.P8.Theta,POW.P8.Alpha,POW.P8.BetaL,POW.P8.BetaH,POW.P8.Gamma,POW.T8.Theta,POW.T8.Alpha,POW.T8.BetaL,POW.T8.BetaH,POW.T8.Gamma,POW.FC6.Theta,POW.FC6.Alpha,POW.FC6.BetaL,POW.FC6.BetaH,POW.FC6.Gamma,POW.F4.Theta,POW.F4.Alpha,POW.F4.BetaL,POW.F4.BetaH,POW.F4.Gamma,POW.F8.Theta,POW.F8.Alpha,POW.F8.BetaL,POW.F8.BetaH,POW.F8.Gamma,POW.AF4.Theta,POW.AF4.Alpha,POW.AF4.BetaL,POW.AF4.BetaH,POW.AF4.Gamma
adityarelax.normal.csv,5.219193,1.460825,1.520731,0.791478,0.265067,50.328564,13.875347,4.119919,2.584378,0.7223,2.284257,0.377734,0.431148,0.475876,0.198399,2.679154,1.288729,1.135548,0.940012,0.268628,3.283819,0.877296,0.643669,0.803419,1.024602,1.000894,0.1939,0.32015,0.241722,0.31667,2.616024,0.480383,0.738668,0.6101,0.387987,0.513342,0.283792,0.295876,0.171515,0.163185,2.281698,0.397169,0.33833,0.266695,0.151069,3.35327,0.700379,0.382826,0.479573,0.334961,3.558293,0.671092,1.300605,0.882282,0.387907,3.411915,0.826921,1.144374,0.907733,0.358793,5.952394,1.087565,1.542035,0.965136,0.724107,4.287225,1.153793,1.352487,0.78967,0.35759
adityarelax.normal.csv,7.083794,1.684579,1.820434,0.88899,0.281137,71.644463,14.596634,3.93719,3.414203,0.809411,2.948032,0.450572,0.49021,0.47044,0.20019,3.722903,1.500653,1.222036,1.009884,0.271153,3.770635,0.969354,0.645035,0.97357,0.939795,1.065907,0.214032,0.276153,0.282076,0.343177,2.938227,0.468201,0.622915,0.611324,0.381142,0.568247,0.263774,0.235738,0.153271,0.160132,2.700616,0.37526,0.325632,0.253167,0.159386,4.162338,0.764973,0.431077,0.460829,0.327933,4.067569,0.825542,1.337099,0.832549,0.364943,4.511692,0.929295,1.224779,0.843945,0.347688,6.054415,1.527793,1.665838,0.958854,0.730553,5.541601,1.439061,1.56953,0.824593,0.35678
adityarelax.normal.csv,8.916324,1.912095,2.014272,0.954713,0.296785,100.887924,15.285317,3.773932,4.383409,0.912165,3.619306,0.584451,0.533451,0.440324,0.197951,4.946605,1.696178,1.261081,1.019847,0.275748,4.328532,1.11927,0.630344,1.190906,0.843167,1.238776,0.279839,0.220969,0.34279,0.356262,3.344612,0.52483,0.485001,0.579957,0.358425,0.612209,0.267549,0.182593,0.135528,0.150634,2.970298,0.386199,0.302278,0.238101,0.165137,4.728291,0.904415,0.48194,0.435949,0.311439,4.597869,1.056347,1.299736,0.79406,0.358293,5.549126,1.127698,1.225078,0.747621,0.334713,5.93562,2.060764,1.705669,0.946685,0.72734,6.649771,1.773859,1.698042,0.843033,0.360203
adityarelax.normal.csv,10.264184,2.143056,2.047152,0.979678,0.308374,132.614929,15.996939,3.685499,5.210927,1.007356,4.184638,0.796905,0.556991,0.405608,0.194711,6.026092,1.870989,1.249451,0.97035,0.28548,4.889173,1.336363,0.610599,1.411854,0.752007,1.480481,0.397594,0.168852,0.404492,0.354407,3.831078,0.683198,0.36729,0.526229,0.326128,0.671841,0.309333,0.145581,0.123487,0.134925,3.02049,0.444305,0.268927,0.231212,0.165972,4.944478,1.120811,0.525908,0.421665,0.28855,5.025645,1.366975,1.21825,0.80437,0.376806,6.261606,1.448854,1.156274,0.659829,0.326325,5.401386,2.551469,1.649212,0.939337,0.7066,7.331721,2.133057,1.714363,0.852455,0.367002
adityarelax.normal.csv,10.911231,2.356755,1.899646,0.964302,0.321188,158.362991,16.642664,3.694343,5.630789,1.075855,4.602284,1.064017,0.55746,0.384618,0.194418,6.786647,2.036458,1.188505,0.879547,0.302131,5.459765,1.586642,0.595015,1.580471,0.682095,1.826976,0.545872,0.127575,0.445918,0.342717,4.503756,0.927464,0.29509,0.470593,0.296976,0.77333,0.382703,0.123879,0.121481,0.116646,2.911445,0.540845,0.231739,0.240079,0.164064,4.897374,1.378769,0.555646,0.434524,0.272173,5.427018,1.724788,1.118764,0.877603,0.429824,6.639145,1.863362,1.041296,0.61417,0.335426,4.579219,2.849036,1.492948,0.946618,0.678442,7.545308,2.459846,1.617882,0.856557,0.384943
adityarelax.normal.csv,10.733453,2.512512,1.598427,0.918,0.344029,172.801712,17.29302,4.031671,5.533114,1.111603,4.801681,1.331944,0.533222,0.384948,0.198899,7.09926,2.186078,1.083789,0.775577,0.325898,5.894077,1.824068,0.587037,1.65245,0.647724,2.155337,0.691343,0.097732,0.453902,0.331298,5.249212,1.204251,0.268002,0.433558,0.284084,0.908929,0.463209,0.110923,0.132092,0.101096,2.710757,0.649668,0.201022,0.267733,0.164245,4.695212,1.630358,0.575113,0.484017,0.277197,5.843502,2.083161,1.01316,0.996471,0.516219,6.680428,2.297423,0.903524,0.622973,0.372588,3.696065,2.86209,1.263155,0.976653,0.663683,7.343381,2.68837,1.420249,0.854549,0.424029
adityarelax.normal.csv,9.718611,2.574244,1.219,0.852061,0.379295,173.763763,18.331839,4.795648,4.973631,1.119154,4.735578,1.541891,0.491832,0.401273,0.206859,6.882157,2.29961,0.948376,0.680426,0.354519,6.000888,2.004945,0.591323,1.613356,0.658712,2.359357,0.799872,0.078339,0.428948,0.330987,5.864297,1.439465,0.26869,0.427059,0.294223,1.044358,0.518524,0.102047,0.156961,0.092793,2.487967,0.738149,0.189093,0.31064,0.170229,4.450492,1.823656,0.602314,0.565957,0.310468,6.204509,2.370034,0.91352,1.122098,0.61862,6.436391,2.658734,0.771701,0.677245,0.436879,3.021711,2.595504,1.024715,1.032399,0.67635,6.792387,2.775002,1.161373,0.839756,0.484383
adityarelax.normal.csv,8.218349,2.516322,0.854194,0.77505,0.419355,162.367126,20.554737,5.857844,4.13694,1.105137,4.430866,1.650396,0.445399,0.417631,0.215514,6.290895,2.341938,0.806264,0.607014,0.386246,5.772655,2.099399,0.61355,1.479095,0.712986,2.401256,0.857021,0.072696,0.381901,0.348791,6.220476,1.582294,0.282053,0.444762,0.324551,1.14756,0.525428,0.102592,0.194518,0.093586,2.335983,0.785479,0.205126,0.359049,0.18222,4.284789,1.913659,0.647484,0.661045,0.36625,6.486472,2.522536,0.827134,1.210663,0.707958,6.066177,2.860921,0.673517,0.749466,0.512979,2.7451,2.160196,0.845851,1.108054,0.713803,6.073966,2.711665,0.896351,0.802806,0.552458
adityarelax.normal.csv,6.593887,2.358597,0.575155,0.6919,0.449852,147.372742,24.574631,6.908189,3.26421,1.07297,3.933892,1.653908,0.407917,0.417478,0.222436,5.466529,2.291666,0.679816,0.560674,0.422978,5.296453,2.112834,0.650804,1.29138,0.795091,2.291724,0.870812,0.084701,0.328045,0.381951,6.220901,1.636316,0.301881,0.46538,0.363575,1.196127,0.483968,0.118331,0.236454,0.101713,2.287851,0.794968,0.245494,0.398182,0.196106,4.255281,1.895277,0.703208,0.739136,0.426989,6.717759,2.539668,0.761323,1.230567,0.755275,5.672954,2.87907,0.617901,0.804478,0.577004,2.941458,1.706704,0.769334,1.182543,0.756025,5.317532,2.541555,0.672049,0.738749,0.607151
adityarelax.normal.csv,5.023769,2.169891,0.401034,0.602978,0.456521,131.127975,30.258017,7.547508,2.545926,1.02078,3.311634,1.58613,0.38389,0.393644,0.225938,4.529677,2.165373,0.580722,0.542897,0.467212,4.600055,2.053954,0.688797,1.101678,0.873689,2.072152,0.853743,0.110992,0.279761,0.417317,5.779356,1.625895,0.324122,0.467573,0.395341,1.181928,0.408865,0.149075,0.270828,0.112943,2.290607,0.77935,0.29599,0.413577,0.205185,4.275663,1.776955,0.748612,0.771778,0.471625,6.887189,2.436838,0.716429,1.168536,0.743732,5.288591,2.752877,0.595152,0.813902,0.606589,3.460319,1.361213,0.791733,1.22102,0.774381,4.574138,2.350537,0.509259,0.648963,0.628765
