Source.Name,POW.AF3.Theta,POW.AF3.Alpha,POW.AF3.BetaL,POW.AF3.BetaH,POW.AF3.Gamma,POW.F7.Theta,POW.F7.Alpha,POW.F7.BetaL,POW.F7.BetaH,POW.F7.Gamma,POW.F3.Theta,POW.F3.Alpha,POW.F3.BetaL,POW.F3.BetaH,POW.F3.Gamma,POW.FC5.Theta,POW.FC5.Alpha,POW.FC5.BetaL,POW.FC5.BetaH,POW.FC5.Gamma,POW.T7.Theta,POW.T7.Alpha,POW.T7.BetaL,POW.T7.BetaH,POW.T7.Gamma,POW.P7.Theta,POW.P7.Alpha,POW.P7.BetaL,POW.P7.BetaH,POW.P7.Gamma,POW.O1.Theta,POW.O1.Alpha,POW.O1.BetaL,POW.O1.BetaH,POW.O1.Gamma,POW.O2.Theta,POW.O2.Alpha,POW.O2.BetaL,POW.O2.BetaH,POW.O2.Gamma,POW.P8.Theta,POW.P8.Alpha,POW.P8.BetaL,POW.P8.BetaH,POW.P8.Gamma,POW.T8.Theta,POW.T8.Alpha,POW.T8.BetaL,POW.T8.BetaH,POW.T8.Gamma,POW.FC6.Theta,POW.FC6.Alpha,POW.FC6.BetaL,POW.FC6.BetaH,POW.FC6.Gamma,POW.F4.Theta,POW.F4.Alpha,POW.F4.BetaL,POW.F4.BetaH,POW.F4.Gamma,POW.F8.Theta,POW.F8.Alpha,POW.F8.BetaL,POW.F8.BetaH,POW.F8.Gamma,POW.AF4.Theta,POW.AF4.Alpha,POW.AF4.BetaL,POW.AF4.BetaH,POW.AF4.Gamma
adityascary.normal.csv,10.640665,2.287453,2.54132,1.353611,0.661834,89.221863,40.307613,19.874159,3.939944,1.00056,6.396712,1.13125,1.445982,0.964805,0.409247,21.616743,3.124701,3.404773,1.390577,0.728151,10.165889,1.65232,1.85641,2.380489,0.786066,5.047082,1.137914,0.509291,0.812181,0.409587,8.844589,2.541197,1.454915,1.176662,0.621702,3.377324,1.074307,0.412143,0.486674,0.279791,5.352496,1.579809,1.064721,0.853548,0.395638,10.059175,2.050073,1.501753,1.370508,0.682725,15.148323,3.267327,2.598552,1.997884,0.898401,13.132934,3.052186,2.875152,2.02665,0.8553,27.696278,4.241972,2.730211,1.887266,0.708255,11.00186,3.014825,3.073218,1.655621,0.76995
adityascary.normal.csv,8.856763,2.08528,2.595963,1.375878,0.667788,72.695969,31.943987,15.332537,3.56007,0.863212,4.874082,1.042324,1.533255,0.992841,0.399893,19.300653,2.741788,3.439284,1.507334,0.699266,8.071205,1.524294,1.836386,2.628106,0.783195,4.046493,1.081265,0.458861,0.833009,0.403466,6.576005,2.388834,1.404562,1.174227,0.637783,2.624997,0.899438,0.361376,0.503304,0.292301,4.262942,1.241643,0.923046,0.859533,0.413828,7.777034,1.644862,1.282972,1.292487,0.70777,13.267335,2.867564,2.754856,2.036572,0.867619,10.144542,2.584686,3.035258,2.148134,0.855358,20.058044,3.228336,2.631781,1.806773,0.682143,9.038895,2.511848,3.203834,1.685989,0.762404
adityascary.normal.csv,7.251864,1.867486,2.41995,1.357241,0.670983,55.846706,22.399147,10.445522,3.055522,0.7166,3.676576,0.957236,1.504737,0.968308,0.378171,16.386658,2.454846,3.229368,1.591231,0.676269,6.33007,1.333787,1.641699,2.662142,0.796113,3.170389,0.960685,0.404247,0.806951,0.407807,4.806667,2.133896,1.299026,1.12605,0.647375,1.989728,0.748456,0.316135,0.512621,0.309793,3.346086,1.015457,0.760486,0.810228,0.430328,5.884768,1.377629,1.10743,1.193878,0.730199,11.369554,2.504002,2.758517,1.970842,0.843398,7.741708,2.181138,2.981879,2.132644,0.86651,15.126714,2.454332,2.44342,1.701107,0.6737,7.212778,2.071294,3.057414,1.645889,0.74966
adityascary.normal.csv,5.993537,1.639494,2.066344,1.293521,0.681881,42.075439,14.112108,6.529507,2.577632,0.611127,2.960579,0.864224,1.361478,0.891644,0.356014,14.452499,2.272974,2.870017,1.630077,0.677353,5.044572,1.104065,1.327232,2.498271,0.829938,2.524523,0.800157,0.357551,0.742002,0.426371,3.654396,1.801812,1.163065,1.046461,0.652092,1.554082,0.636005,0.285515,0.511311,0.329203,2.742342,0.896606,0.609903,0.719068,0.443613,4.638153,1.243659,0.984512,1.086148,0.74826,9.740414,2.212945,2.567647,1.817419,0.841378,6.165124,1.837587,2.707456,1.975026,0.895845,12.37952,2.034842,2.14395,1.593913,0.689953,5.832409,1.717034,2.669876,1.524037,0.742134
adityascary.normal.csv,4.979765,1.406796,1.635732,1.189051,0.701903,34.285217,8.418861,4.14089,2.203077,0.573798,2.524245,0.750679,1.140344,0.778766,0.341539,13.755572,2.129174,2.46974,1.610852,0.706286,4.05357,0.864363,0.981051,2.213434,0.880833,2.037413,0.632417,0.323332,0.655983,0.453048,2.957087,1.431216,1.014167,0.95555,0.652188,1.2469,0.554438,0.272197,0.494141,0.345422,2.286081,0.835193,0.506346,0.606027,0.450034,3.724118,1.171937,0.91156,0.978639,0.761727,8.120261,1.972933,2.20956,1.617865,0.863498,5.105405,1.513322,2.270296,1.711454,0.935387,10.86385,1.921032,1.760564,1.499803,0.727968,4.741506,1.432946,2.143221,1.334613,0.74342
adityascary.normal.csv,4.276155,1.192179,1.232613,1.057667,0.721316,30.635616,5.194093,3.034965,1.921648,0.597925,2.302509,0.612007,0.894137,0.653892,0.33422,14.2352,1.920142,2.10389,1.522998,0.747444,3.290056,0.644975,0.687412,1.907468,0.932281,1.707683,0.485063,0.299313,0.569674,0.473324,2.549629,1.06986,0.862074,0.8715,0.643574,1.029861,0.488068,0.271617,0.458932,0.352368,1.914373,0.778686,0.47059,0.495623,0.444795,3.031831,1.090414,0.88831,0.879577,0.766851,6.738271,1.738355,1.775745,1.419641,0.893444,4.467024,1.175042,1.769562,1.409028,0.962474,9.93488,1.930326,1.352108,1.423747,0.773288,4.079749,1.187354,1.600588,1.115091,0.747116
adityascary.normal.csv,3.898117,1.051632,0.920106,0.918623,0.725393,28.637783,3.576161,2.517476,1.682432,0.652371,2.210588,0.475487,0.675212,0.542756,0.326783,14.866795,1.602133,1.783298,1.367193,0.77359,2.763501,0.486473,0.495259,1.668012,0.960647,1.562111,0.387,0.28459,0.498791,0.471964,2.404286,0.787673,0.723135,0.804572,0.619175,0.864388,0.438039,0.275805,0.410281,0.344623,1.57021,0.719138,0.503047,0.412495,0.424852,2.513331,0.996096,0.914993,0.79811,0.755843,5.701118,1.520797,1.377538,1.256603,0.903421,4.126058,0.877463,1.309473,1.139503,0.951129,9.500775,1.973543,0.981968,1.35581,0.806111,3.84926,1.000053,1.133781,0.909882,0.740797
adityascary.normal.csv,3.934455,1.059112,0.710435,0.793209,0.704206,27.048311,2.6865,2.048495,1.459687,0.704731,2.26053,0.394796,0.515568,0.46183,0.310808,14.812064,1.246412,1.481899,1.16361,0.761412,2.661036,0.430929,0.408122,1.543297,0.95142,1.733178,0.358686,0.279591,0.449118,0.442615,2.703737,0.644399,0.616348,0.753727,0.575643,0.820413,0.418893,0.279136,0.358412,0.321279,1.375801,0.695626,0.590526,0.372103,0.392509,2.393836,0.957584,0.992118,0.741258,0.722879,5.422446,1.377997,1.097383,1.138522,0.870944,4.197766,0.746183,0.963541,0.948711,0.888584,9.794858,2.086956,0.690898,1.28073,0.812713,4.149327,0.946293,0.784306,0.753987,0.714804
adityascary.normal.csv,4.434606,1.273022,0.58547,0.695145,0.659151,28.240635,2.45147,1.613335,1.274986,0.737661,2.487498,0.424079,0.423163,0.410979,0.283126,13.869848,0.998242,1.190051,0.950019,0.70387,3.177182,0.509499,0.400957,1.525793,0.908238,2.314381,0.405406,0.284875,0.416551,0.391074,3.689503,0.649731,0.553069,0.706299,0.517324,1.015502,0.437717,0.281826,0.313363,0.286741,1.553161,0.753412,0.711116,0.373648,0.35475,3.019874,1.059612,1.108858,0.709895,0.668674,6.102052,1.38104,0.965023,1.054798,0.794525,4.917856,0.883452,0.761551,0.840984,0.785097,11.137404,2.386984,0.500107,1.189236,0.793674,5.086668,1.102588,0.553335,0.659422,0.66946
adityascary.normal.csv,5.330708,1.6824,0.519906,0.62691,0.601935,36.714073,2.790754,1.300856,1.154373,0.74822,2.933192,0.577675,0.382857,0.37837,0.247685,12.447276,0.968438,0.95037,0.764664,0.612834,4.374656,0.714548,0.4443,1.566398,0.851808,3.31333,0.510329,0.302631,0.392534,0.331449,5.443705,0.765607,0.532097,0.649898,0.456194,1.49335,0.486679,0.28675,0.281774,0.249258,2.194839,0.901982,0.8301,0.402999,0.32063,4.479981,1.319385,1.230824,0.703194,0.601155,7.787989,1.553475,0.955739,0.993894,0.693385,6.370282,1.294783,0.683069,0.791694,0.668568,13.415125,2.976352,0.426763,1.098381,0.763572,6.52284,1.486933,0.416731,0.616396,0.614976
